PRATASABA RESORT,,,,,,,,,
Saba Resto Price List,,,,,,,,,
"Filtered By :Quantity, Suspended",,,,,,,,,
,,,Item Description,,,,,Unit Price,Item Type
,,Squid-006,,,CRISPY DEEP FRIED,,GORENG TEPUNG KRISPI,110000.0,Non Inventory Part
,,Squid-007,,,GREEN CHILLY STYLE,,MASAK CABAI HIJAU,110000.0,Non Inventory Part
,,Squid-008,,,PADANG STYLE SAUCE,,SAUS PADANG,110000.0,Non Inventory Part
,,Squid-009,,,SALTED EGGS STYLE,,MASAK TELUR ASIN,110000.0,Non Inventory Part
,F&B-0007,,,CHICKEN,,AYAM,,0.0,Non Inventory Part
,,Chicken-001,,,CHICKEN FRANCAISE,,AYAM FRANCAISE,140000.0,Non Inventory Part
,,Chicken-002,,,CHICKEN STEAK,,STIK AYAM,120000.0,Non Inventory Part
,,Chicken-003,,,CHICKEN CRISPY STEAK,,STIK AYAM KRISPI,110000.0,Non Inventory Part
,,Chicken-004,,,CHICKEN CORDON BLEU,,AYAM ALA CORDON BLEU,130000.0,Non Inventory Part
,,Chicken-005,,,CHICKEN KATSU,,AYAM KATSU,110000.0,Non Inventory Part
,,Chicken-006,,,FRIED LALAB STYLE,,AYAM LALAB,100000.0,Non Inventory Part
,,Chicken-007,,,PENYET STYLE,,AYAM PENYET,100000.0,Non Inventory Part
,,Chicken-008,,,CRISPY DEEP FRIED,,AYAM GORENG KRISPI,100000.0,Non Inventory Part
,,Chicken-009,,,CHICKEN & CRUNCH,,AYAM KREMES,100000.0,Non Inventory Part
,,Chicken-010,,,SWEET SOY SAUCE,,AYAM GORENG KECAP,100000.0,Non Inventory Part
,,Chicken-011,,,BUTTER FRIED CHICKEN,,AYAM GORENG MENTEGA,100000.0,Non Inventory Part
,,Chicken-012,,,CHICKEN GARLIC,,AYAM BAWANG PUTIH,100000.0,Non Inventory Part
,,Chicken-013,,,RICA-RICA STYLE,,MASAK RICA-RICA,100000.0,Non Inventory Part
,,Chicken-014,,,GRILLED CHICKEN,,AYAM BAKAR,100000.0,Non Inventory Part
,F&B-0008,,,BEEF & FUSION,,SAPI & FUSI,,0.0,Non Inventory Part
,,Beef-001,,,TENDERLOIN STEAK,,STIK DAGING TENDERLOIN,165000.0,Non Inventory Part
,,Beef-002,,,SIRLOIN STEAK,,STIK DAGING SIRLOIN,165000.0,Non Inventory Part
,,Beef-003,,,BEEF BLACKPEPPER,,DAGING LADA HITAM,165000.0,Non Inventory Part
,,Beef-004,,,BEEF STROGANOFF,,SAPI ALA STROGANOFF RUSIA,165000.0,Non Inventory Part
,,Beef-005,,,MIX GRILL SEAFOOD,,ANEKA SEAFOOD PANGGANG,130000.0,Non Inventory Part
,,Beef-006,,,TOM YUM SPAGHETTI,,SPAGHETTI TOM YUM,85000.0,Non Inventory Part
,,Beef-007,,,CHILLI PASTE SPAGHETTI,,SPAGHETTI BUMBU CABAI,85000.0,Non Inventory Part
,,Beef-008,,,CHICKEN SZEECHUAN GREEN BEAN,,AYAM SZECHUAN BUNCIS,85000.0,Non Inventory Part
,F&B-0009,,,WESTERN,,MENU KEBARATAN,,0.0,Non Inventory Part
,,West-001,,,PRATASABA SANDWICH,,SANDWICH PRATASABA,80000.0,Non Inventory Part
,,West-002,,,PRATA PIZZA,,PIZZA PRATA,130000.0,Non Inventory Part
,,West-003,,,BEEF BURGER,,BURGER DAGING SAPI,85000.0,Non Inventory Part
,,West-004,,,CHEESE SMOKE BEEF SANDWICH,,SANDWICH KEJU & DAGING ASAP,75000.0,Non Inventory Part
,,West-005,,,TUNA SANDWICH,,SANDWICH TUNA,75000.0,Non Inventory Part
,,West-006,,,SPAGHETTI BOLOGNESE,,SPAGHETTI BOLOGNESE,80000.0,Non Inventory Part
,,West-007,,,SPAGHETTI CARBONARA,,SPAGHETTI CARBONARA,80000.0,Non Inventory Part
,,West-008,,,SPAGHETTI AGLIO OLIO TUNA,,SPAGHETTI AGLIO OLIO TUNA,80000.0,Non Inventory Part
,,West-009,,,SPAGHETTI 'CHEESE SMOKE BEEF,,SPAGHETTI KEJU & DAGING ASAP,80000.0,Non Inventory Part
,F&B-0010,,,RICE,,NASI,,0.0,Non Inventory Part
,,Rice-001,,,WHITE RICE,,NASI PUTIH,10000.0,Non Inventory Part
,,Rice-002,,,PRATASABA FRIED RICE,,NASI GORENG PRATASABA,95000.0,Non Inventory Part
,,Rice-003,,,SEAFOOD FRIED RICE,,NASI GORENG SEAFOOD,85000.0,Non Inventory Part
,,Rice-004,,,BAKED RICE,,NASI OVEN,95000.0,Non Inventory Part
,,Rice-005,,,JAVANESE FRIED RICE,,NASI GORENG JAWA,85000.0,Non Inventory Part
,,Rice-006,,,SALTED FISH FRIED RICE,,NASI GORENG IKAN ASIN,85000.0,Non Inventory Part
,F&B-0011,,,NOODLE,,MIE,,0.0,Non Inventory Part
,,Noodle-001,,,BANDUNG LOMIE NOODLE,,MIE LOMIE BANDUNG,95000.0,Non Inventory Part
,,Noodle-002,,,PRATASABA FRIED NOODLE,,MIE GORENG PRATASABA,95000.0,Non Inventory Part
,,Noodle-003,,,SEAFOOD FRIED NOODLE,,MIE GORENG SEAFOOD,85000.0,Non Inventory Part
,,Noodle-004,,,MEATBALL FRIED NOODLE,,MIE GORENG BAKSO,85000.0,Non Inventory Part
,,Noodle-005,,,CHICKEN FRIED NOODLE,,MIE GORENG AYAM,85000.0,Non Inventory Part
,,Noodle-006,,,PRATASABA FRIED KWETIAW,,KWETIAW GORENG PRATASABA,95000.0,Non Inventory Part
,,Noodle-007,,,SEAFOOD FRIED KWETIAW,,KWETIAW GORENG SEAFOOD,85000.0,Non Inventory Part
,,Noodle-008,,,MEATBALL FRIED KWETIAW,,KWETIAW GORENG BAKSO,85000.0,Non Inventory Part
,,Noodle-009,,,CHICKEN FRIED KWETIAW,,KWETIAW GORENG AYAM,85000.0,Non Inventory Part
,F&B-0012,,,VEGETARIAN,,VEGETARIAN,,0.0,Non Inventory Part
,,Vege-001,,,VEGGIE FRIED RICE,,NASI GORENG SAYUR,75000.0,Non Inventory Part
,,Vege-002,,,VEGGIE FRIED NOODLE,,MIE GORENG SAYUR,75000.0,Non Inventory Part
,,Vege-003,,,VEGGIE FRIED KWETIAW,,KWETIAW GORENG SAYUR,75000.0,Non Inventory Part
,,Vege-004,,,MORNING GLORY TAUCO,,CAH KANGKUNG TAUCO,65000.0,Non Inventory Part
,,Vege-005,,,SALTED FISH & BEANS SPROUT,,CAH TAUGE & IKAN ASIN,65000.0,Non Inventory Part
,,Vege-006,,,PAK CHOI CAH STYLE,,CAH PAK CHOI,65000.0,Non Inventory Part
,,Vege-007,,,BROCCOLI CAH STYLE,,CAH BROKOLI,65000.0,Non Inventory Part
,,Vege-008,,,BROCCOLI MUSHROOM,,BROKOLI JAMUR,65000.0,Non Inventory Part
,,Vege-009,,,TJAP TJAY,,CAP CAY,65000.0,Non Inventory Part
,,Vege-010,,,CLAYPOT TOFU,,SAPO TAHU,65000.0,Non Inventory Part
,,Vege-011,,,VEGETABLE LALAB,,LALAPAN SAYUR,25000.0,Non Inventory Part
,F&B-0013,,,BEVERAGE,,MINUMAN,,0.0,Non Inventory Part
,,Bev-001,,,JUICE,,JUS,50000.0,Non Inventory Part
,,Bev-002,,,TROPICAL VIOLET,,ES JANDA MUDA,50000.0,Non Inventory Part
,,Bev-003,,,FRESH COCONUT,,KELAPA MUDA,35000.0,Non Inventory Part
,,Bev-004,,,GINGER DRIK,,WEDANG JAHE,40000.0,Non Inventory Part
,,Bev-005,,,LEMON TEA,,TEH LEMON,30000.0,Non Inventory Part
,,Bev-006,,,SODA,,SODA GEMBIRA,40000.0,Non Inventory Part
,,Bev-007,,,MILK TEA,,TEH TARIK,35000.0,Non Inventory Part
,,Bev-008,,,ORANGE JUICE,,ES JERUK,40000.0,Non Inventory Part
,F&B-0014,,,OTHERS ADDITIONAL,,TAMBAHAN LAIN-LAIN,,0.0,Non Inventory Part
,,Add-001,,,EGG,,TELUR,25000.0,Non Inventory Part
,,Add-002,,,CHILLI PASTE,,SAMBAL,25000.0,Non Inventory Part
,,Add-003,,,CRACKERS - SMALL JAR,,KERUPUK - TOPLES KECIL,25000.0,Non Inventory Part
,,Add-004,,,CRACKERS - BIG JAR,,KERUPUK - TOPLES BESAR,50000.0,Non Inventory Part
,,Add-005,,,JASA MASAK (PER KG),,JASA MASAK (PER KG),150000.0,Non Inventory Part
,,Add-006,,,LOBSTER (PER KG),,LOBSTER (PER KG),750000.0,Non Inventory Part
,,Add-007,,,UDANG RONGGENG (PER KG),,UDANG RONGGENG (PER KG),600000.0,Non Inventory Part
,,Add-008,,,KEPITING KENARI (PER KG),,KEPITING KENARI (PER KG),350000.0,Non Inventory Part
,,Add-009,,,KERANG (PER KG),,KERANG (PER KG),275000.0,Non Inventory Part
