PRATASABA RESORT,,,,,,,,,
Fixed Asset List,,,,,,,,,
Asset Code,Asset Name,Asset Type Name,Asset Account,Asset Cost,Usage Date,Purchase Date,Estimated Life,% Depr Rate,Depreciation Method
PAA-0034,Short Boot Zeepro 3mm - Black - Size 4 (34-35) (GOL.23031-DC),Equipment,1400600.0,249000.0,28 Feb 2023,28 Feb 2023,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0035,Short Boot Zeepro 3mm - Black - Size 5 (36) (GOL.23031-DC),Equipment,1400600.0,498000.0,28 Feb 2023,28 Feb 2023,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0036,Fin Strap Zeepro Rubber Adult Snorkeling (GOL.23031-DC),Equipment,1400600.0,156000.0,28 Feb 2023,28 Feb 2023,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0037,Short Mouthpiece Zeepro Regulator Silicone - Black (GOL.23031-DC),Equipment,1400600.0,140000.0,28 Feb 2023,28 Feb 2023,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0038,Wetsuit OW Full Wave Men 3mm Ankle Zip BK MD (GOL.23031-DC),Equipment,1400600.0,5514750.0,28 Feb 2023,28 Feb 2023,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0039,Wetsuit OW Full Wave Men 3mm Ankle Zip BK LG (GOL.23031-DC),Equipment,1400600.0,3676500.0,28 Feb 2023,28 Feb 2023,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0040,"Boot Open Water Wave High Cut, 7 (GOL.23031-DC)",Equipment,1400600.0,1530450.0,28 Feb 2023,28 Feb 2023,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0041,"Boot Open Water Wave High Cut, 8 (GOL.23031-DC)",Equipment,1400600.0,1530450.0,28 Feb 2023,28 Feb 2023,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0042,Snorkel Resort Transp BK (GOL.23031-DC),Equipment,1400600.0,1368000.0,28 Feb 2023,28 Feb 2023,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0043,Mask Resort 2+ BK Sil BK (GOL.23031-DC),Equipment,1400600.0,3308850.0,28 Feb 2023,28 Feb 2023,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0044,"Strap & Buckle Fin Snorkeller, nla (GOL.23031-DC)",Equipment,1400600.0,288000.0,28 Feb 2023,28 Feb 2023,4 Yr 0 Mth,25.0,Straight Line Method
